iter	Passed	Remaining
0	0	67
1	1	62
2	1	62
3	2	57
4	2	56
5	3	56
6	4	64
7	5	63
8	6	62
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
